id,duplicate_of_id,parent_event_id,relevance,updated,title,labels,phq_labels,category,description,start,end,predicted_end,timezone,duration,country,lat,lon,geo,placekey,impact_patterns,predicted_event_spend_total,predicted_event_spend_accommodation,predicted_event_spend_hospitality,predicted_event_spend_transportation,venue_id,venue_name,venue_formatted_address,scope,rank,local_rank,aviation_rank,phq_attendance,state,cancelled,postponed,deleted_reason,first_seen,place_hierarchies,private,brand_safe
6oKsmAYryFjFqRByf7,,,,2023-11-12T04:34:08Z,Diamonds in Jupiter,"concert,music",,concerts,,2023-12-24T01:00:00Z,2023-12-24T01:00:00Z,2023-12-24T05:10:00Z,America/New_York,0,US,40.7657318,-74.2512741,"{""geometry"": {""coordinates"": [-74.2512741, 40.7657318], ""type"": ""Point""}}",227-224@627-wkr-3nq,,3463,0,1970,1493,mt67MReMvnryfGeHA25XJi,South Valley BBQ & Lounge,"34 South Valley Road
West Orange, NJ 07052
United States of America",locality,34,52,,164,active,,,,2023-11-12T04:31:26Z,"6295630>6255149>6252001>5101760>5097707>7258421,6295630>6255149>6252001>5101760>5097707>5101798",False,True
4WPbWsbgqCrSHrCZhh,,,,2023-11-12T04:37:56Z,Vic Della Pello,"concert,music",,concerts,,2023-12-28T23:00:00Z,2023-12-28T23:00:00Z,2023-12-29T03:10:00Z,America/New_York,0,US,40.2163925,-74.0089951,"{""geometry"": {""coordinates"": [-74.0089951, 40.2163925], ""type"": ""Point""}}",22q-226@628-r7c-rc5,,4176,0,2466,1710,,,,locality,36,53,,195,active,,,,2023-11-12T04:37:25Z,"6295630>6255149>6252001>5101760>5101305>5095281,6295630>6255149>6252001>5101760>5101305>5098278",False,True
3USTKUun2w7ScEjrfZ,,,,2023-11-12T04:54:00Z,Paul Marturano,"concert,music",,concerts,,2023-12-30T22:00:00Z,2023-12-30T22:00:00Z,2023-12-31T02:10:00Z,America/New_York,0,US,39.723877,-75.221138,"{""geometry"": {""coordinates"": [-75.221138, 39.723877], ""type"": ""Point""}}",1vrhh5jwmd@63s-dyq-fvf,,2688,0,1635,1052,Uw9evZDeQGjJYLychDXxTU,Harbough Village,"126 Bridgeton Pike
Harrison Township, NJ 08062
United States of America",locality,33,64,,135,active,,,,2023-11-12T04:39:43Z,"6295630>6255149>6252001>5101760>4501944>4503195,6295630>6255149>6252001>5101760>4501944>4504915",False,True
EN8UzGAEkcd2LXnZxa,,,,2023-11-12T04:55:06Z,James Popik,"concert,music",,concerts,,2023-12-30T23:30:00Z,2023-12-30T23:30:00Z,2023-12-31T03:40:00Z,America/New_York,0,US,40.7468796,-74.2615891,"{""geometry"": {""coordinates"": [-74.2615891, 40.7468796], ""type"": ""Point""}}",227@627-wkj-35z,,11625,2199,5362,4063,t3fJdEBJSys4P8v2WZcbT6,Village Hall Restaurant and Beer Garden,"101 West South Orange Avenue
South Orange, NJ 07079
United States of America",locality,41,59,,357,active,,,,2023-11-12T04:43:09Z,"6295630>6255149>6252001>5101760>5097707>5104836,6295630>6255149>6252001>5101760>5097707>5101798",False,True
6yQFXNF7JR49ZRFQgL,,,,2023-12-03T06:17:41Z,Cherish The Ladies,"concert,music","jazz-and-classical,rock",concerts,,2023-12-04T01:00:00Z,2023-12-04T01:00:00Z,2023-12-04T03:30:00Z,America/New_York,0,US,40.1537438,-74.6990921,"{""geometry"": {""coordinates"": [-74.6990921, 40.1537438], ""type"": ""Point""}}",1lbagxoyjp@628-tgz-49z,,6570,0,3972,2598,iKuSQuDJNa9xknddpe3VVC,Open Arts Stage,"146 U.S. 130
Bordentown, NJ 08505
United States of America",locality,40,66,,326,active,,,,2023-11-12T18:13:11Z,"6295630>6255149>6252001>5101760>4500994>5101193,6295630>6255149>6252001>5101760>5101090>5105496",False,True
7dkskN6qwhXY8VBaLd,,,,2023-11-13T00:19:06Z,Blessing of the Nativity,"christmas-holiday,community,entertainment",,community,,2023-12-03T19:00:00Z,2023-12-03T19:00:00Z,,America/New_York,0,US,40.66352,-74.21183,"{""geometry"": {""coordinates"": [-74.21183, 40.66352], ""type"": ""Point""}}",1sl2y3fxbn@628-tgw-z9f,,1282,0,901,380,,,,locality,30,41,,100,active,,,,2023-11-13T00:13:10Z,6295630>6255149>6252001>5101760>5105640>5097598,False,True
EMi23izFsKAyqwd5g2,,,,2023-11-13T01:26:01Z,The Life Christian Church Christmas Vendor Village,"craft,festival","religion,nature-and-outdoor-activities",festivals,,2023-12-15T05:00:00Z,2023-12-18T04:59:59Z,,America/New_York,259199,US,40.770178,-74.29461,"{""geometry"": {""coordinates"": [-74.29461, 40.770178], ""type"": ""Point""}}",@627-wmh-hqz,,59845,7042,30039,22763,,,,locality,56,81,,2000,active,,,,2023-11-13T01:17:52Z,"6295630>6255149>6252001>5101760>5097707>5103781,6295630>6255149>6252001>5101760>5097707>5101798",False,True
4bPawfnXQRdkfE9THn,,,,2023-12-10T06:13:39Z,Naturally 7,"concert,music","hip-hop-and-rnb-and-soul,jazz-and-classical,pop",concerts,,2023-12-19T00:30:00Z,2023-12-19T00:30:00Z,2023-12-19T05:00:00Z,America/New_York,0,US,40.3491446,-74.0701199,"{""geometry"": {""coordinates"": [-74.0701199, 40.3491446], ""type"": ""Point""}}",225-223@628-rp7-tqf,,14326,2680,6877,4769,gZMGbeUUrViUM3BHrqy4Fb,The Vogel at Count Basie Center for the Arts,"99 Monmouth Street
Red Bank, NJ 07701
United States of America",locality,43,64,,435,active,,,,2023-11-14T01:21:44Z,"6295630>6255149>6252001>5101760>5101305>5103159,6295630>6255149>6252001>5101760>5101305>5098278",False,True
6j7epJEVXpv6mwjjLz,,,,2023-11-24T11:20:36Z,Skrizzly Adams,"concert,music","pop,rock",concerts,,2023-12-31T02:00:00Z,2023-12-31T02:00:00Z,2023-12-31T06:10:00Z,America/New_York,0,US,39.35249,-74.4449,"{""geometry"": {""coordinates"": [-74.4449, 39.35249], ""type"": ""Point""}}",zzw-223@628-nmj-5pv,,19353,3783,9087,6482,sHuiB3P9wU9SbAzmA2NnnQ,Firewaters,"2821 Boardwalk
Brighton & The Boardwalk
Atlantic City, NJ 08401",locality,46,58,,614,active,,,,2023-11-14T01:27:18Z,"6295630>6255149>6252001>5101760>4500561>4501195,6295630>6255149>6252001>5101760>4500561>4502962",False,True
42qLEUriRQnPkSSpiU,,,,2023-11-24T03:39:19Z,Skrizzly Adams,"concert,music","pop,rock",concerts,,2024-01-01T02:00:00Z,2024-01-01T02:00:00Z,2024-01-01T06:10:00Z,America/New_York,0,US,39.35249,-74.4449,"{""geometry"": {""coordinates"": [-74.4449, 39.35249], ""type"": ""Point""}}",zzw-223@628-nmj-5pv,,19353,3783,9087,6482,sHuiB3P9wU9SbAzmA2NnnQ,Firewaters,"2821 Boardwalk
Brighton & The Boardwalk
Atlantic City, NJ 08401",locality,46,58,,614,active,,,,2023-11-14T01:59:35Z,"6295630>6255149>6252001>5101760>4500561>4501195,6295630>6255149>6252001>5101760>4500561>4502962",False,True
